"price","address","squares","type","year","age","bed","bath","tax","fee"
"$900,000","702 4670 Assembly Way, Burnaby, BC","825 sq.ft.","Residential, Condo","2018",NA,"2","2","$1,595",NA
"$900,000","402 3602 Aldercrest Drive, North Vancouver, BC","1,237 sq.ft.","Residential, Condo","2017","1","3","2","$3,623",NA
"$899,999","1601 1055 Homer Street, Vancouver West, BC","786 sq.ft.","Residential, Condo","2003","15","1","1","$2,021",NA
"$899,999","1203 1555 Eastern Avenue, North Vancouver, BC","993 sq.ft.","Residential, Condo","1991","27","2","2","$2,195",NA
"$899,900","2608 1239 W Georgia Street, Vancouver West, BC","675 sq.ft.","Residential, Condo","1999","19","1","1","$1,686",NA
"$899,900","2210 4625 Valley Drive, Vancouver West, BC","852 sq.ft.","Residential, Condo","2001","17","2","2","$1,745",NA
"$899,900","903 290 Newport Drive, Port Moody, BC","1,310 sq.ft.","Residential, Condo","2006","12","2","2","$2,776",NA
"$899,900","8 900 W 17th Street, North Vancouver, BC","1,217 sq.ft.","Residential, Condo","1986","32","3","2+1","$2,216",NA
"$899,900","313 9150 University High Street, Burnaby, BC","1,285 sq.ft.","Residential, Condo","2012","6","3","3","$2,417",NA
"$899,900","303 1 E Cordova Street, Vancouver East, BC","841 sq.ft.","Residential, Condo","1998","20","1","1","$1,675",NA
"$899,900","207 1880 E Kent Avenue, Vancouver East, BC","1,060 sq.ft.","Residential, Condo","1995","23","2","2","$1,791",NA
"$899,900","299 Alexander Street, Vancouver East, BC","989 sq.ft.","Residential, Condo","1999","19",NA,"1","$1,708",NA
"$899,900","503 888 Hamilton Street, Vancouver West, BC","830 sq.ft.","Residential, Condo","1993","25","2","1","$1,427",NA
